id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/20006968	10.2307/20006968	Critical Appraisals of American Education: Dilemmas and Contradictions in the Work of Hirsch and Bloom	Gene H. Bell-Villada	International Journal of Politics, Culture, and Society	3	4	1990-07-01T00:00:00Z	pp. 485-512	Springer	fla			
10.2307/25792787	10.2307/25792787	abortion update	t. d.	Off Our Backs	8	7	1978-07-01T00:00:00Z	p. 13	off our backs, inc.	fla			
10.2307/2713090	10.2307/2713090	Doctoral Dissertations in American Studies, 1990-1991		American Quarterly	43	4	1991-12-01T00:00:00Z	pp. 694-713	The Johns Hopkins University Press	fla			
10.5406/femteacher.21.2.0160	10.5406/femteacher.21.2.0160	Review	Emily Murdock	Feminist Teacher	21	2	2011-12-06T00:00:00Z	pp. 160-162	University of Illinois Press	fla			
10.2307/25162030	10.2307/25162030	Different Daughters	Marcia M. Gallo	OAH Magazine of History	20	2	2006-03-01T00:00:00Z	pp. 27-30	Organization of American Historians	fla			
10.2307/362650	10.2307/362650	The Education of a Rebel: Sinclair Lewis at Yale	Sheldon Grebstein	The New England Quarterly	28	3	1955-09-01T00:00:00Z	pp. 372-382	The New England Quarterly, Inc.	fla			
10.2307/3483358	10.2307/3483358	East and Middle West: Concepts of Liberalism in America during the Late Nineteenth Century	Louis Filler	American Journal of Economics and Sociology	11	2	1952-01-01T00:00:00Z	pp. 179-202	American Journal of Economics and Sociology, Inc.	fla			
10.2307/3346143	10.2307/3346143	Vida to Florence: "Comrade and Companion"	Nan Bauer Maglin	Frontiers: A Journal of Women Studies	4	3	1979-10-01T00:00:00Z	pp. 13-20	University of Nebraska Press	fla			
10.2307/25793644	10.2307/25793644	anti-sponge stories full of holes [with response]	Rachel Lederman, Joanne Tribble	Off Our Backs	11	3	1981-03-01T00:00:00Z	pp. 20-21	off our backs, inc.	fla			
10.2307/4486411	10.2307/4486411	Conventional Iconoclasm: The Cultural Work of the Nietzsche Image in Twentieth-Century America	Jennifer Ratner-Rosenhagen	The Journal of American History	93	3	2006-12-01T00:00:00Z	pp. 728-754	Organization of American Historians	fla			
10.2307/1957895	10.2307/1957895	Comment on Clark's "On Anarchism in an Unreal World"	Isaac Kramnick	The American Political Science Review	69	1	1975-03-01T00:00:00Z	p. 168	American Political Science Association	fla			
10.2307/2701827	10.2307/2701827	Sexuality in Nineteenth-Century America: Behavior, Ideology, and Politics	Estelle B. Freedman	Reviews in American History	10	4	1982-12-01T00:00:00Z	pp. 196-215	The Johns Hopkins University Press	fla			
10.2307/40644104	10.2307/40644104	<b>Can a Hobo Share a Box-Car? Jack London, the Industrial Army, and the Politics of (In)visibility</b>	John Lennon	American Studies	48	4	2007-12-01T00:00:00Z	pp. 5-30	Mid-America American Studies Association	fla			
10.2307/29768523	10.2307/29768523	"Reading Between the Lines": The Bureau of Investigation, the United States Post Office, and Domestic Surveillance During World War I	Peter Conolly-Smith	Social Justice	36	1 (115)	2009-01-01T00:00:00Z	pp. 7-24	Social Justice/Global Options	fla			
10.2307/492448	10.2307/492448	A Sound Rendering of Women's History	Judith M. Stanley	The History Teacher	6	4	1973-08-01T00:00:00Z	pp. 511-522	Society for History Education	fla			
10.2307/1870125	10.2307/1870125	Insiders and Outsiders in American Historical Narrative and American History	R. Laurence Moore	The American Historical Review	87	2	1982-04-01T00:00:00Z	pp. 390-412	American Historical Association, Oxford University Press	fla			
10.2307/4288780	10.2307/4288780	Camile Pissarro's Turpitudes Sociales and Late Nineteenth-Century French Anarchist Anti-Feminism	John Hutton	History Workshop		24	1987-10-01T00:00:00Z	pp. 32-61	Oxford University Press	fla			
10.2307/27771791	10.2307/27771791	THE OUTER WORLD AND THE INNER LIGHT: A CASE STUDY	Robert K. Murray	Pennsylvania History	36	3	1969-07-01T00:00:00Z	pp. 265-289	Penn State University Press	fla			
10.2307/25774763	10.2307/25774763	holly near	sarie feld, sheri maeda	Off Our Backs	12	11	1982-12-01T00:00:00Z	p. 21	off our backs, inc.	fla			
10.2307/2924869	10.2307/2924869	Autobiographical Elements in the Camera Eye	James N. Westerhoven	American Literature	48	3	1976-11-01T00:00:00Z	pp. 340-364	Duke University Press	fla			
10.2307/1557409	10.2307/1557409	Adolf Dehn: Satirist of the Jazz Age	Richard Cox	Archives of American Art Journal	18	2	1978-01-01T00:00:00Z	pp. 11-18	The Smithsonian Institution	fla			
10.1086/668048	10.1086/668048	Image, Space, Revolution: The Arts of Occupation	W. J. T. Mitchell	Critical Inquiry	39	1	2012-09-01T00:00:00Z	pp. 8-32	The University of Chicago Press	fla			
10.2307/41109030	10.2307/41109030	Feminism, Philanthropy and Science in the Development of The Oral Contraceptive Pill	R. Christian Johnson	Pharmacy in History	19	2	1977-01-01T00:00:00Z	pp. 63-78	American Institute of the History of Pharmacy	fla			
10.2307/25783143	10.2307/25783143	free		Off Our Backs	1	20	1971-04-15T00:00:00Z	p. 13	off our backs, inc.	fla			
10.2307/2137570	10.2307/2137570	Feminists and Neo-Malthusians: Past and Present Alliances	Dennis Hodgson, Susan Cotts Watkins	Population and Development Review	23	3	1997-09-01T00:00:00Z	pp. 469-523	Population Council	fla		This article examines a century of interactions between American feminists and American social movements seeking to influence population trends. The historical analysis focuses on relations between feminists and neo-Malthusians and attempts to determine when they are likely to enter into alliances. The two movements are found to be neither natural allies nor natural enemies. Sturdy alliances arise when both movements agree on certain ideological premises, share a common demographic goal, and perceive mutual benefit in an alliance. The origin of the "common ground" alliance between American feminists and American neo-Malthusians that was so prominently displayed at the International Conference on Population and Development at Cairo is examined. Since the two movements currently are found to possess no clear common goals, to share no basic ideological beliefs, and to have entered a relationship of questionable mutual benefit, the alliance is considered to be fragile.	
10.2307/3177741	10.2307/3177741	Seeing "The Second Sex" through the Second Wave	Mary Lowenthal Felstiner	Feminist Studies	6	2	1980-07-01T00:00:00Z	pp. 247-276	Feminist Studies, Inc.	fla			
10.2307/4140168	10.2307/4140168	Jewish Police Informers in the Atlantic World, 1880-1914	Charles Van Onselen	The Historical Journal	50	1	2007-03-01T00:00:00Z	pp. 119-144	Cambridge University Press	fla		The great migration from the tsarist empire, sparked by the assassination of Alexander II, in 1881, saw two to three million east European Jews re-settling in the great cities of the Atlantic world before the First World War. Often discriminated against in labour markets, and socially marginalized in new environments, Russo-Polish males either persisted in, or resorted to, organized crime centred on the illicit sale of alcohol, professional gambling, and prostitution to survive. Atlantic states, however, were reluctant to employ Jews as uniformed police or detectives in their fight against syndicated crime. In order to overcome the challenge of ethnicized crime, law-enforcement agencies, like nineteenth-century tsarist administrations before them, employed informers. Jewish informers who, unbeknown to police handlers, were sometimes also psychopaths in an era before the condition was clinically identified, were used to infiltrate underworld structures. By nature, informing offered a short-term, unstable, existence fraught with unintended consequences for police and spies alike-thereby encouraging extraordinary geographical mobility amongst informers. Orthodox histories of law-enforcement agencies tend to focus on structural changes in police forces but a re-examination of the role of informers in organized crime should allow for the development of more subtle insights into the evolution of policing as a dynamic, interactive, social process.	
10.2307/40257496	10.2307/40257496	Ambivalent Victorian: H. L. Mencken	T. J. Jackson Lears	The Wilson Quarterly (1976-)	13	2	1989-04-01T00:00:00Z	pp. 112-118	Woodrow Wilson International Center for Scholars	fla			
10.2307/192164	10.2307/192164	Reply to Ruth Abbey and Fredrick Appel	Mark E. Warren	Political Theory	27	1	1999-02-01T00:00:00Z	pp. 126-130	Sage Publications, Inc.	fla			
10.2307/25719018	10.2307/25719018	Views of Our Readers	Edward T. Mackin, William C. McCoy, Jr., Warren E. Burger, Louis Robertson, Godfrey K. Preiser, Jr., Felix F. Stumpf, John E. Sato, Harry G. Liese	American Bar Association Journal	40	12	1954-12-01T00:00:00Z	pp. 1024, 1026, 1032	American Bar Association	fla		Members of our Association are invited to submit short communications expressing their opinions, or giving information, as to any matter appearing in the Journal or otherwise within the province of our Association. Statements which do not exceed 300 words will be most suitable. The Board of Editors reserves the selection of communications which it will publish and may reject because of length. The Board is not responsible for matters stated or views expressed in any communication.	
10.2307/25006913	10.2307/25006913	Two Radicals	Dorothy Gallagher	Grand Street	5	4	1986-07-01T00:00:00Z	pp. 232-240	Ben Sonnenberg, Jean Stein	fla			
10.2307/3594273	10.2307/3594273	Refiguring Authorship, Ownership, and Textual Commodities: Meridel Le Sueur's Pedagogical Legacy	Jane Greer	College English	65	6	2003-07-01T00:00:00Z	pp. 607-625	National Council of Teachers of English	fla			
10.2307/1972350	10.2307/1972350	The Ideological Origins of the Population Association of America	Dennis Hodgson	Population and Development Review	17	1	1991-03-01T00:00:00Z	pp. 1-34	Population Council	fla		The list of persons invited to the founding session of the Population Association of America in 1931 is used to define the field of population studies in the United States from 1900 to 1930. Four factions are identified: immigration restrictionists, eugenicists, birth controllers, and population scientists. The history and ideological orientation of each group is outlined. The period was characterized by dissension, as different ideological perspectives produced discordant appraisals of population trends. Biological Malthusians focused on compositional changes in population and their impact on genetic quality; classic Malthusians focused on changes in numbers and their impact on economic properity. The valuation dimension of demographic assessment is highlighted by surveying population thought in an era of advocacy and controversy.	
10.2307/40491642	10.2307/40491642	Reimagining the Indian: Charles Erskine Scott Wood and Frank Linderman	Sherry L. Smith	The Pacific Northwest Quarterly	87	3	1996-07-01T00:00:00Z	pp. 149-158	University of Washington	fla			
10.2307/2010542	10.2307/2010542	Revolution and War	Stephen M. Walt	World Politics	44	3	1992-04-01T00:00:00Z	pp. 321-368	Cambridge University Press	fla		Revolutions are watershed events in international politics, yet the existing literature on revolutions focuses primarily on the causes of revolution or its effects on domestic politics. Revolutions are also a potent cause of instability and war, because they alter the "balance of threats" between the revolutionary state and the other members of the system. First, revolutions alter the balance of power and make it more difficult for states to measure it accurately. Second, they encourage states to exaggerate each other's hostility, further increasing perceptions of threat. Third, revolutions cause states to exaggerate both their own vulnerability and that of their opponents, thereby encouraging them to view the use of force as both necessary and feasible. This combination of insecurity and overconfidence is usually illusory, however. In fact, revolutions are usually harder either to export or to reverse than either side expects.	
